English_City,Arabic_City,Date,Number of Transactions,Value of Transactions
OTHER,المدن الأخرى,"14 Mar,21  -  20 Mar,21",28128,2390765
HAIL,حائل,"11 Apr,21  -  17 Apr,21",1485,138107
ABHA,أبها,"11 Apr,21  -  17 Apr,21",1208,107000
MAKKAH,مكة المكرمة,"11 Apr,21  -  17 Apr,21",3403,297089
BURAIDAH,بريدة,"11 Apr,21  -  17 Apr,21",2256,211830
KHOBAR,الخبر,"11 Apr,21  -  17 Apr,21",2016,258369
MADINA,المنورة,"11 Apr,21  -  17 Apr,21",3697,297906
DAMMAM,الدمام,"11 Apr,21  -  17 Apr,21",4057,456791
JEDDAH,جدة,"11 Apr,21  -  17 Apr,21",11420,1307330
RIYADH,الرياض,"11 Apr,21  -  17 Apr,21",22740,2532052
OTHER,المدن الأخرى,"11 Apr,21  -  17 Apr,21",27620,2444689
HAIL,حائل,"31 Jan,21  -  06 Feb,21",1502,138197
ABHA,أبها,"31 Jan,21  -  06 Feb,21",1195,108752
MAKKAH,مكة المكرمة,"31 Jan,21  -  06 Feb,21",3331,278025
BURAIDAH,بريدة,"31 Jan,21  -  06 Feb,21",2292,215345
KHOBAR,الخبر,"31 Jan,21  -  06 Feb,21",2275,302971
MADINA,المنورة,"31 Jan,21  -  06 Feb,21",3818,319691
DAMMAM,الدمام,"31 Jan,21  -  06 Feb,21",4236,483887
JEDDAH,جدة,"31 Jan,21  -  06 Feb,21",12144,1434289
RIYADH,الرياض,"31 Jan,21  -  06 Feb,21",23710,2725903
OTHER,المدن الأخرى,"31 Jan,21  -  06 Feb,21",26971,2404915
HAIL,حائل,"03 Oct,21  -  09 Oct,21",2109,153335
ABHA,أبها,"03 Oct,21  -  09 Oct,21",1838,132846
MAKKAH,مكة المكرمة,"03 Oct,21  -  09 Oct,21",4569,305412
BURAIDAH,بريدة,"03 Oct,21  -  09 Oct,21",2926,228177
KHOBAR,الخبر,"03 Oct,21  -  09 Oct,21",2811,296849
MADINA,المنورة,"03 Oct,21  -  09 Oct,21",4981,332088
DAMMAM,الدمام,"03 Oct,21  -  09 Oct,21",5219,490390
JEDDAH,جدة,"03 Oct,21  -  09 Oct,21",15742,1427678
RIYADH,الرياض,"03 Oct,21  -  09 Oct,21",31112,2881115
OTHER,المدن الأخرى,"03 Oct,21  -  09 Oct,21",39173,2736624
HAIL,حائل,22 Nov - 28 Nov,1450,154647
ABHA,أبها,22 Nov - 28 Nov,1179,120226
MAKKAH,مكة المكرمة,22 Nov - 28 Nov,2784,258208
BURAIDAH,بريدة,22 Nov - 28 Nov,2182,216823
KHOBAR,الخبر,22 Nov - 28 Nov,2292,329427
MADINA,المنورة,22 Nov - 28 Nov,3397,316801
DAMMAM,الدمام,22 Nov - 28 Nov,4009,485163
JEDDAH,جدة,22 Nov - 28 Nov,10730,1359787
RIYADH,الرياض,22 Nov - 28 Nov,22446,2763045
OTHER,المدن الأخرى,22 Nov - 28 Nov,24489,2472722
HAIL,حائل,"26 Sep,21  -  02 Oct,21",2310,192385
ABHA,أبها,"26 Sep,21  -  02 Oct,21",1972,163430
MAKKAH,مكة المكرمة,"26 Sep,21  -  02 Oct,21",4842,371159
BURAIDAH,بريدة,"26 Sep,21  -  02 Oct,21",3078,274135
KHOBAR,الخبر,"26 Sep,21  -  02 Oct,21",2893,349569
MADINA,المنورة,"26 Sep,21  -  02 Oct,21",5285,406141
DAMMAM,الدمام,"26 Sep,21  -  02 Oct,21",5466,577489
JEDDAH,جدة,"26 Sep,21  -  02 Oct,21",16345,1678117
RIYADH,الرياض,"26 Sep,21  -  02 Oct,21",32064,3367583
OTHER,المدن الأخرى,"26 Sep,21  -  02 Oct,21",42070,3417435
HAIL,حائل,"22 Aug,21  -  28 Aug,21",2096,170800
ABHA,أبها,"22 Aug,21  -  28 Aug,21",2049,174113
MAKKAH,مكة المكرمة,"22 Aug,21  -  28 Aug,21",4473,346496
BURAIDAH,بريدة,"22 Aug,21  -  28 Aug,21",2871,251843
KHOBAR,الخبر,"22 Aug,21  -  28 Aug,21",2692,352381
MADINA,المنورة,"22 Aug,21  -  28 Aug,21",4923,387014
DAMMAM,الدمام,"22 Aug,21  -  28 Aug,21",5062,555802
JEDDAH,جدة,"22 Aug,21  -  28 Aug,21",15282,1648035
RIYADH,الرياض,"22 Aug,21  -  28 Aug,21",29664,3268995
OTHER,المدن الأخرى,"22 Aug,21  -  28 Aug,21",38899,3180118
ABHA,أبها,7 - 13 Jun,910,116432
HAIL,حائل,7 - 13 Jun,946,134782
TABOUK,تبوك,7 - 13 Jun,1083,136970
MAKKAH,مكة المكرمة,7 - 13 Jun,1546,204211
BURAIDAH,بريدة,7 - 13 Jun,1621,229106
KHOBAR,الخبر,7 - 13 Jun,1326,263489
MADINA,المنورة,7 - 13 Jun,2141,273024
DAMMAM,الدمام,7 - 13 Jun,2666,453168
JEDDAH,جدة,7 - 13 Jun,5709,983666
RIYADH,الرياض,7 - 13 Jun,13676,2170406
OTHER,المدن الأخرى,7 - 13 Jun,16585,2330576
ABHA,أبها,13 - 19 Sep,1061,103511
BURAIDAH,بريدة,13 - 19 Sep,1904,181314
DAMMAM,الدمام,13 - 19 Sep,3452,388790
HAIL,حائل,13 - 19 Sep,1132,109089
JEDDAH,جدة,13 - 19 Sep,8903,1131769
KHOBAR,الخبر,13 - 19 Sep,1943,266330
MADINA,المنورة,13 - 19 Sep,2830,245939
MAKKAH,مكة المكرمة,13 - 19 Sep,2200,191645
RIYADH,الرياض,13 - 19 Sep,19461,2261451
TABOUK,تبوك,13 - 19 Sep,1335,119693
OTHER,المدن الأخرى,13 - 19 Sep,20167,1879326
HAIL,حائل,"20 Jun,21  -  26 Jun,21",1707,136240
ABHA,أبها,"20 Jun,21  -  26 Jun,21",2004,163036
MAKKAH,مكة المكرمة,"20 Jun,21  -  26 Jun,21",3583,249186
BURAIDAH,بريدة,"20 Jun,21  -  26 Jun,21",2516,210476
KHOBAR,الخبر,"20 Jun,21  -  26 Jun,21",2425,292242
MADINA,المنورة,"20 Jun,21  -  26 Jun,21",4055,291334
DAMMAM,الدمام,"20 Jun,21  -  26 Jun,21",4390,441126
JEDDAH,جدة,"20 Jun,21  -  26 Jun,21",13254,1356134
RIYADH,الرياض,"20 Jun,21  -  26 Jun,21",25978,2602929
OTHER,المدن الأخرى,"20 Jun,21  -  26 Jun,21",32315,2472952
HAIL,حائل,"14 Feb,21  -  20 Feb,21",1361,123649
ABHA,أبها,"14 Feb,21  -  20 Feb,21",1082,91589
MAKKAH,مكة المكرمة,"14 Feb,21  -  20 Feb,21",3082,234962
BURAIDAH,بريدة,"14 Feb,21  -  20 Feb,21",2125,191101
KHOBAR,الخبر,"14 Feb,21  -  20 Feb,21",2017,248689
MADINA,المنورة,"14 Feb,21  -  20 Feb,21",3432,265966
DAMMAM,الدمام,"14 Feb,21  -  20 Feb,21",3861,408570
JEDDAH,جدة,"14 Feb,21  -  20 Feb,21",10695,1173176
RIYADH,الرياض,"14 Feb,21  -  20 Feb,21",21386,2255027
OTHER,المدن الأخرى,"14 Feb,21  -  20 Feb,21",25023,2071085
HAIL,حائل,"06 Jun,21  -  12 Jun,21",1858,148881
ABHA,أبها,"06 Jun,21  -  12 Jun,21",2039,165556
MAKKAH,مكة المكرمة,"06 Jun,21  -  12 Jun,21",3910,274494
BURAIDAH,بريدة,"06 Jun,21  -  12 Jun,21",2645,222669
KHOBAR,الخبر,"06 Jun,21  -  12 Jun,21",2603,309513
MADINA,المنورة,"06 Jun,21  -  12 Jun,21",4472,319759
DAMMAM,الدمام,"06 Jun,21  -  12 Jun,21",4715,468689
JEDDAH,جدة,"06 Jun,21  -  12 Jun,21",14144,1426372
RIYADH,الرياض,"06 Jun,21  -  12 Jun,21",27311,2732814
OTHER,المدن الأخرى,"06 Jun,21  -  12 Jun,21",34620,2650394
TABOUK,تبوك,12 - 18 Jul,1133,112579
HAIL,حائل,12 - 18 Jul,1056,111577
ABHA,أبها,12 - 18 Jul,1246,134366
BURAIDAH,بريدة,12 - 18 Jul,1786,175800
MAKKAH,مكة المكرمة,12 - 18 Jul,1828,176012
MADINA,المنورة,12 - 18 Jul,2433,232297
KHOBAR,الخبر,12 - 18 Jul,1689,239828
DAMMAM,الدمام,12 - 18 Jul,2976,358949
JEDDAH,جدة,12 - 18 Jul,7811,1079228
OTHER,المدن الأخرى,12 - 18 Jul,18351,1866700
RIYADH,الرياض,12 - 18 Jul,16782,2042373
HAIL,حائل,15 Nov - 21 Nov,1270,121577
ABHA,أبها,15 Nov - 21 Nov,1071,97544
MAKKAH,مكة المكرمة,15 Nov - 21 Nov,2513,207409
BURAIDAH,بريدة,15 Nov - 21 Nov,2032,194127
KHOBAR,الخبر,15 Nov - 21 Nov,2136,288220
MADINA,المنورة,15 Nov - 21 Nov,3092,253642
DAMMAM,الدمام,15 Nov - 21 Nov,3713,414006
