English_City,Arabic_City,Date,Number of Transactions,Value of Transactions,location_latitude,location_longitude
ABHA,أبها,"06 Jun,21  -  12 Jun,21",2039,165556,18.2164282,42.5043596
ABHA,أبها,12 - 18 Jul,1246,134366,18.2164282,42.5043596
ABHA,أبها,15 Nov - 21 Nov,1071,97544,18.2164282,42.5043596
ABHA,أبها,"24 Jan,21  -  30 Jan,21",1227,120454,18.2164282,42.5043596
ABHA,أبها,"30 May,21  -  05 Jun,21",2024,172205,18.2164282,42.5043596
ABHA,أبها,08 Nov - 14 Nov,1121,103186,18.2164282,42.5043596
ABHA,أبها,"04 Apr,21  -  10 Apr,21",1476,139430,18.2164282,42.5043596
ABHA,أبها,19 - 25 Jul,1276,139865,18.2164282,42.5043596
ABHA,أبها,"16 May,21  -  22 May,21",1497,114723,18.2164282,42.5043596
ABHA,أبها,31 May - 6 Jun,897,120809,18.2164282,42.5043596
ABHA,أبها,"09 May,21  -  15 May,21",1448,125468,18.2164282,42.5043596
ABHA,أبها,"18 Apr,21  -  24 Apr,21",1116,96892,18.2164282,42.5043596
ABHA,أبها,"25 Jul,21  -  31 Jul,21",2421,209130,18.2164282,42.5043596
ABHA,أبها,04 - 10 Oct,1134,112557,18.2164282,42.5043596
ABHA,أبها,30 Aug - 05 Sep,1241,135391,18.2164282,42.5043596
ABHA,أبها,27 Sep - 03 Oct,1236,139810,18.2164282,42.5043596
ABHA,أبها,23 - 29 Aug,1254,141710,18.2164282,42.5043596
ABHA,أبها,"27 Jun,21  -  03 Jul,21",2384,211463,18.2164282,42.5043596
ABHA,أبها,"18 Jul,21  -  24 Jul,21",1857,140315,18.2164282,42.5043596
ABHA,أبها,29 Nov - 05 Dec,1215,122080,18.2164282,42.5043596
ABHA,أبها,26 Jul - 1 Aug,1509,172128,18.2164282,42.5043596
ABHA,أبها,"07 Mar,21  -  13 Mar,21",1330,115383,18.2164282,42.5043596
ABHA,أبها,20 - 27 Jun,1088,144233,18.2164282,42.5043596
ABHA,أبها,"08 Aug,21  -  14 Aug,21",2291,179111,18.2164282,42.5043596
ABHA,أبها,13 Dec - 19 Dec,1054,96868,18.2164282,42.5043596
ABHA,أبها,"28 Feb,21  -  06 Mar,21",1324,131105,18.2164282,42.5043596
ABHA,أبها,"05 Sep,21  -  11 Sep,21",1856,135983,18.2164282,42.5043596
ABHA,أبها,14 - 20 Jun,918,121943,18.2164282,42.5043596
ABHA,أبها,11 Oct - 17 Oct,1094,99616,18.2164282,42.5043596
ABHA,أبها,"21 Mar,21  -  27 Mar,21",1334,118935,18.2164282,42.5043596
ABHA,أبها,02 - 08 Aug,1363,133805,18.2164282,42.5043596
ABHA,أبها,"03 Jan,21  -  09 Jan,21",1028,94412,18.2164282,42.5043596
ABHA,أبها,"21 Feb,21  -  27 Feb,21",1093,93918,18.2164282,42.5043596
ABHA,أبها,5 - 11 Jul,1294,136103,18.2164282,42.5043596
MAKKAH,مكة المكرمة,"17 Jan,21  -  23 Jan,21",2834,227878,21.420847,39.826869
MAKKAH,مكة المكرمة,06 Dec - 12 Dec,2841,236130,21.420847,39.826869
MAKKAH,مكة المكرمة,"28 Mar,21  -  03 Apr,21",4012,377813,21.420847,39.826869
MAKKAH,مكة المكرمة,"04 Jul,21  -  10 Jul,21",4056,274617,21.420847,39.826869
MAKKAH,مكة المكرمة,"07 Feb,21  -  13 Feb,21",3218,249105,21.420847,39.826869
MAKKAH,مكة المكرمة,"15 Aug,21  -  21 Aug,21",3941,265324,21.420847,39.826869
MAKKAH,مكة المكرمة,"01 Aug,21  -  07 Aug,21",4138,281078,21.420847,39.826869
MAKKAH,مكة المكرمة,09 - 15 Aug,2005,184146,21.420847,39.826869
MAKKAH,مكة المكرمة,01 Nov - 07 Nov,2655,233870,21.420847,39.826869
MAKKAH,مكة المكرمة,"19 Sep,21  -  25 Sep,21",4168,294442,21.420847,39.826869
MAKKAH,مكة المكرمة,25 Oct - 31 Oct,2726,268008,21.420847,39.826869
MAKKAH,مكة المكرمة,09 - 15 Aug,2005,184146,21.420847,39.826869
MAKKAH,مكة المكرمة,28 Jun - 4 Jul,1992,290919,21.420847,39.826869
MAKKAH,مكة المكرمة,"27 Dec,20  -  02 Jan,21",3476,339811,21.420847,39.826869
MAKKAH,مكة المكرمة,"13 Jun,21  -  19 Jun,21",3659,253226,21.420847,39.826869
MAKKAH,مكة المكرمة,"23 May,21  -  29 May,21",3639,280590,21.420847,39.826869
MAKKAH,مكة المكرمة,20 - 26 Sep,2219,211241,21.420847,39.826869
MAKKAH,مكة المكرمة,20 Dec - 26 Dec,2653,218771,21.420847,39.826869
MAKKAH,مكة المكرمة,"10 Jan,21  -  16 Jan,21",3246,259699,21.420847,39.826869
MAKKAH,مكة المكرمة,06 - 12 Sep,2298,203125,21.420847,39.826869
MAKKAH,مكة المكرمة,"25 Apr,21  -  01 May,21",4033,459260,21.420847,39.826869
MAKKAH,مكة المكرمة,"29 Aug,21  -  04 Sep,21",4576,331555,21.420847,39.826869
MAKKAH,مكة المكرمة,18 Oct - 24 Oct,2247,186218,21.420847,39.826869
MAKKAH,مكة المكرمة,"14 Mar,21  -  20 Mar,21",3385,267621,21.420847,39.826869
MAKKAH,مكة المكرمة,"11 Apr,21  -  17 Apr,21",3403,297089,21.420847,39.826869
MAKKAH,مكة المكرمة,"31 Jan,21  -  06 Feb,21",3331,278025,21.420847,39.826869
MAKKAH,مكة المكرمة,"03 Oct,21  -  09 Oct,21",4569,305412,21.420847,39.826869
MAKKAH,مكة المكرمة,22 Nov - 28 Nov,2784,258208,21.420847,39.826869
MAKKAH,مكة المكرمة,"26 Sep,21  -  02 Oct,21",4842,371159,21.420847,39.826869
MAKKAH,مكة المكرمة,"22 Aug,21  -  28 Aug,21",4473,346496,21.420847,39.826869
MAKKAH,مكة المكرمة,7 - 13 Jun,1546,204211,21.420847,39.826869
MAKKAH,مكة المكرمة,13 - 19 Sep,2200,191645,21.420847,39.826869
MAKKAH,مكة المكرمة,"20 Jun,21  -  26 Jun,21",3583,249186,21.420847,39.826869
MAKKAH,مكة المكرمة,"14 Feb,21  -  20 Feb,21",3082,234962,21.420847,39.826869
MAKKAH,مكة المكرمة,"06 Jun,21  -  12 Jun,21",3910,274494,21.420847,39.826869
MAKKAH,مكة المكرمة,12 - 18 Jul,1828,176012,21.420847,39.826869
MAKKAH,مكة المكرمة,15 Nov - 21 Nov,2513,207409,21.420847,39.826869
MAKKAH,مكة المكرمة,"24 Jan,21  -  30 Jan,21",3332,297981,21.420847,39.826869
MAKKAH,مكة المكرمة,"30 May,21  -  05 Jun,21",3932,292105,21.420847,39.826869
MAKKAH,مكة المكرمة,08 Nov - 14 Nov,2653,219517,21.420847,39.826869
MAKKAH,مكة المكرمة,"04 Apr,21  -  10 Apr,21",3782,330513,21.420847,39.826869
MAKKAH,مكة المكرمة,19 - 25 Jul,1810,176522,21.420847,39.826869
MAKKAH,مكة المكرمة,"16 May,21  -  22 May,21",3033,206555,21.420847,39.826869
MAKKAH,مكة المكرمة,31 May - 6 Jun,1605,226461,21.420847,39.826869
MAKKAH,مكة المكرمة,"09 May,21  -  15 May,21",4059,391185,21.420847,39.826869
MAKKAH,مكة المكرمة,"18 Apr,21  -  24 Apr,21",3057,288730,21.420847,39.826869
MAKKAH,مكة المكرمة,"25 Jul,21  -  31 Jul,21",4088,301464,21.420847,39.826869
MAKKAH,مكة المكرمة,04 - 10 Oct,2383,211633,21.420847,39.826869
MAKKAH,مكة المكرمة,30 Aug - 05 Sep,2366,238978,21.420847,39.826869
MAKKAH,مكة المكرمة,27 Sep - 03 Oct,2592,262751,21.420847,39.826869
MAKKAH,مكة المكرمة,23 - 29 Aug,2181,240004,21.420847,39.826869
MAKKAH,مكة المكرمة,"27 Jun,21  -  03 Jul,21",4326,338786,21.420847,39.826869
MAKKAH,مكة المكرمة,"18 Jul,21  -  24 Jul,21",3305,182765,21.420847,39.826869
MAKKAH,مكة المكرمة,29 Nov - 05 Dec,2939,269607,21.420847,39.826869
MAKKAH,مكة المكرمة,26 Jul - 1 Aug,2148,217985,21.420847,39.826869
