English_Sector,Arabic_Sector,Date,Number of Transactions,Value of Transactions
Construction & Building Materials,مواد التشييد والبناء,2022-01-29,1065,381642.0
Education,التعليم,2022-01-29,141,207425.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-01-29,757,265358.0
Gas,محطات الوقود,2022-01-29,11161,664763.0
Health,الصحة,2022-01-29,7156,776214.0
Furniture,الأثاث,2022-01-29,1000,312492.0
Hotels,الفنادق,2022-01-29,456,170699.0
Public Utilities,المنافع العامة,2022-01-29,866,73225.0
Jewelry,المجوهرات,2022-01-29,184,199499.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-01-29,13257,1040470.0
Recreation and Culture,الترفية والثقافة,2022-01-29,2404,319743.0
Restaurants & Café,المطاعم والمقاهي,2022-01-29,35646,1426198.0
Beverage and Food,الأطعمة والمشروبات,2022-01-29,28837,1727699.0
Telecommunication,الاتصالات,2022-01-29,462,109807.0
Transportation,المواصلات,2022-01-29,1688,549241.0
Other,أخرى,2022-01-29,15178,1483829.0
Total,الإجمالي,2022-01-29,125208,10448882.0
Construction & Building Materials,مواد التشييد والبناء,2020-11-21,725,374793.0
Education,التعليم,2020-11-21,39,53673.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-11-21,656,314207.0
Gas,محطات الوقود,2020-11-21,6233,294811.0
Health,الصحة,2020-11-21,4548,580102.0
Furniture,الأثاث,2020-11-21,680,325953.0
Hotels,الفنادق,2020-11-21,365,134754.0
Public Utilities,المنافع العامة,2020-11-21,523,62533.0
Jewelry,المجوهرات,2020-11-21,153,188254.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-11-21,3411,548086.0
Recreation and Culture,الترفية والثقافة,2020-11-21,1252,219469.0
Restaurants & Café,المطاعم والمقاهي,2020-11-21,20551,964937.0
Beverage and Food,الأطعمة والمشروبات,2020-11-21,18601,1098880.0
Telecommunication,الاتصالات,2020-11-21,245,66305.0
Transportation,المواصلات,2020-11-21,939,412268.0
Other,أخرى,2020-11-21,7985,994037.0
Total,الإجمالي,2020-11-21,70091,7229498.0
Clothing and Footwear,الملابس والأحذية,2021-01-30,3915,671233.0
Construction & Building Materials,مواد التشييد والبناء,2021-01-30,805,406644.0
Education,التعليم,2021-01-30,82,254847.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-01-30,734,321721.0
Gas,محطات الوقود,2021-01-30,7405,396036.0
Health,الصحة,2021-01-30,5492,731713.0
Furniture,الأثاث,2021-01-30,809,324300.0
Hotels,الفنادق,2021-01-30,467,169907.0
Public Utilities,المنافع العامة,2021-01-30,678,76612.0
Jewelry,المجوهرات,2021-01-30,197,249663.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-01-30,5685,795181.0
Recreation and Culture,الترفية والثقافة,2021-01-30,1780,332046.0
Restaurants & Café,المطاعم والمقاهي,2021-01-30,24480,1212070.0
Beverage and Food,الأطعمة والمشروبات,2021-01-30,21625,1572440.0
Telecommunication,الاتصالات,2021-01-30,349,87525.0
Transportation,المواصلات,2021-01-30,1190,507593.0
Other,أخرى,2021-01-30,9391,1192711.0
Total,الإجمالي,2021-01-30,85085,9302243.0
Clothing and Footwear,الملابس والأحذية,2022-02-05,4652,712419.0
Construction & Building Materials,مواد التشييد والبناء,2022-02-05,1098,394829.0
Education,التعليم,2022-02-05,121,122741.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-02-05,773,266478.0
Gas,محطات الوقود,2022-02-05,11302,676864.0
Health,الصحة,2022-02-05,7240,785904.0
Furniture,الأثاث,2022-02-05,1020,328926.0
Hotels,الفنادق,2022-02-05,566,221878.0
Public Utilities,المنافع العامة,2022-02-05,883,76537.0
Jewelry,المجوهرات,2022-02-05,215,229862.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-02-05,13752,1110149.0
Recreation and Culture,الترفية والثقافة,2022-02-05,2245,310916.0
Restaurants & Café,المطاعم والمقاهي,2022-02-05,37924,1554218.0
Beverage and Food,الأطعمة والمشروبات,2022-02-05,29466,1621553.0
Telecommunication,الاتصالات,2022-02-05,458,104258.0
Transportation,المواصلات,2022-02-05,1773,544626.0
Other,أخرى,2022-02-05,15531,1486238.0
Total,الإجمالي,2022-02-05,129020,10548396.0
Clothing and Footwear,الملابس والأحذية,2021-06-05,3763,645316.0
Construction & Building Materials,مواد التشييد والبناء,2021-06-05,869,391642.0
Education,التعليم,2021-06-05,56,78962.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-06-05,716,308406.0
Gas,محطات الوقود,2021-06-05,9387,553022.0
Health,الصحة,2021-06-05,5931,762546.0
Furniture,الأثاث,2021-06-05,859,328413.0
Hotels,الفنادق,2021-06-05,606,206897.0
Public Utilities,المنافع العامة,2021-06-05,860,88311.0
Jewelry,المجوهرات,2021-06-05,221,243969.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-06-05,8662,898668.0
Recreation and Culture,الترفية والثقافة,2021-06-05,1579,262914.0
Restaurants & Café,المطاعم والمقاهي,2021-06-05,29768,1343907.0
Beverage and Food,الأطعمة والمشروبات,2021-06-05,25803,1442098.0
Telecommunication,الاتصالات,2021-06-05,377,105389.0
Transportation,المواصلات,2021-06-05,1470,573887.0
Other,أخرى,2021-06-05,11472,1264760.0
Total,الإجمالي,2021-06-05,102397,9499108.0
Construction & Building Materials,مواد التشييد والبناء,2020-11-14,748,371128.0
Education,التعليم,2020-11-14,41,53938.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-11-14,707,330863.0
Gas,محطات الوقود,2020-11-14,6570,313876.0
Health,الصحة,2020-11-14,4843,609808.0
Furniture,الأثاث,2020-11-14,696,319815.0
Hotels,الفنادق,2020-11-14,386,139943.0
Public Utilities,المنافع العامة,2020-11-14,550,64175.0
Jewelry,المجوهرات,2020-11-14,169,214359.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-11-14,3461,580230.0
Recreation and Culture,الترفية والثقافة,2020-11-14,1344,216883.0
Restaurants & Café,المطاعم والمقاهي,2020-11-14,21336,1012264.0
Beverage and Food,الأطعمة والمشروبات,2020-11-14,19376,1159765.0
Telecommunication,الاتصالات,2020-11-14,251,67157.0
Transportation,المواصلات,2020-11-14,993,408807.0
Other,أخرى,2020-11-14,8532,1041526.0
Total,الإجمالي,2020-11-14,73330,7520741.0
Construction & Building Materials,مواد التشييد والبناء,2021-04-10,953,424635.0
Education,التعليم,2021-04-10,56,100272.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-04-10,752,342409.0
Gas,محطات الوقود,2021-04-10,8492,470696.0
Health,الصحة,2021-04-10,5390,675531.0
Furniture,الأثاث,2021-04-10,1093,450603.0
Hotels,الفنادق,2021-04-10,475,160927.0
Public Utilities,المنافع العامة,2021-04-10,776,86288.0
Jewelry,المجوهرات,2021-04-10,222,288473.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-04-10,7394,838485.0
Recreation and Culture,الترفية والثقافة,2021-04-10,1650,267637.0
Restaurants & Café,المطاعم والمقاهي,2021-04-10,26729,1203099.0
Beverage and Food,الأطعمة والمشروبات,2021-04-10,24385,1742998.0
Telecommunication,الاتصالات,2021-04-10,357,102306.0
Transportation,المواصلات,2021-04-10,1227,472428.0
Other,أخرى,2021-04-10,11281,1483363.0
Total,الإجمالي,2021-04-10,96104,10043116.0
Clothing and Footwear,الملابس والأحذية,2020-07-25,3620,704507.0
Construction & Building Materials,مواد التشييد والبناء,2020-07-25,636,313751.0
Education,التعليم,2020-07-25,29,48524.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-07-25,544,239793.0
Gas,محطات الوقود,2020-07-25,5084,232053.0
Health,الصحة,2020-07-25,4446,626480.0
Furniture,الأثاث,2020-07-25,624,274334.0
Hotels,الفنادق,2020-07-25,285,107528.0
Public Utilities,المنافع العامة,2020-07-25,533,63807.0
Jewelry,المجوهرات,2020-07-25,168,199064.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-07-25,1809,542373.0
Recreation and Culture,الترفية والثقافة,2020-07-25,1043,203655.0
Restaurants & Café,المطاعم والمقاهي,2020-07-25,15710,804372.0
Beverage and Food,الأطعمة والمشروبات,2020-07-25,15403,1055584.0
Telecommunication,الاتصالات,2020-07-25,203,47719.0
Transportation,المواصلات,2020-07-25,833,377546.0
Other,أخرى,2020-07-25,6540,961865.0
Total,الإجمالي,2020-07-25,57513,6802955.0
Clothing and Footwear,الملابس والأحذية,2021-12-25,3696,634333.0
Construction & Building Materials,مواد التشييد والبناء,2021-12-25,962,381800.0
Education,التعليم,2021-12-25,83,95467.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-12-25,650,243899.0
Gas,محطات الوقود,2021-12-25,9933,556247.0
Health,الصحة,2021-12-25,5652,627435.0
Furniture,الأثاث,2021-12-25,844,334306.0
Hotels,الفنادق,2021-12-25,444,180269.0
Public Utilities,المنافع العامة,2021-12-25,734,62604.0
Jewelry,المجوهرات,2021-12-25,154,191621.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-12-25,11053,846873.0
Recreation and Culture,الترفية والثقافة,2021-12-25,1719,241576.0
Restaurants & Café,المطاعم والمقاهي,2021-12-25,31576,1230751.0
Beverage and Food,الأطعمة والمشروبات,2021-12-25,25673,1241645.0
Telecommunication,الاتصالات,2021-12-25,367,80217.0
Transportation,المواصلات,2021-12-25,1404,488698.0
Other,أخرى,2021-12-25,12612,1208414.0
Total,الإجمالي,2021-12-25,107557,8646156.0
Clothing and Footwear,الملابس والأحذية,2021-12-04,6467,1128631.0
Construction & Building Materials,مواد التشييد والبناء,2021-12-04,1134,421349.0
Education,التعليم,2021-12-04,62,81808.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-12-04,839,327068.0
Gas,محطات الوقود,2021-12-04,11432,722451.0
Health,الصحة,2021-12-04,6872,802993.0
Furniture,الأثاث,2021-12-04,1213,433121.0
Hotels,الفنادق,2021-12-04,770,329829.0
Public Utilities,المنافع العامة,2021-12-04,815,78605.0
Jewelry,المجوهرات,2021-12-04,259,273506.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-12-04,13780,1233884.0
Recreation and Culture,الترفية والثقافة,2021-12-04,2103,343861.0
Restaurants & Café,المطاعم والمقاهي,2021-12-04,37140,1695677.0
Beverage and Food,الأطعمة والمشروبات,2021-12-04,28940,1739012.0
Telecommunication,الاتصالات,2021-12-04,518,125156.0
Transportation,المواصلات,2021-12-04,1978,617894.0
Other,أخرى,2021-12-04,15664,1704231.0
Total,الإجمالي,2021-12-04,129984,12059075.0
Construction & Building Materials,مواد التشييد والبناء,2021-05-22,683,322237.0
Education,التعليم,2021-05-22,34,47363.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-05-22,535,236699.0
Gas,محطات الوقود,2021-05-22,8100,463348.0
Health,الصحة,2021-05-22,4819,517311.0
Furniture,الأثاث,2021-05-22,563,221403.0
Hotels,الفنادق,2021-05-22,487,176843.0
Public Utilities,المنافع العامة,2021-05-22,668,64271.0
Jewelry,المجوهرات,2021-05-22,160,198973.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-05-22,6552,593745.0
Recreation and Culture,الترفية والثقافة,2021-05-22,1154,205890.0
Restaurants & Café,المطاعم والمقاهي,2021-05-22,24686,1122716.0
Beverage and Food,الأطعمة والمشروبات,2021-05-22,21256,1085169.0
Telecommunication,الاتصالات,2021-05-22,258,72983.0
Transportation,المواصلات,2021-05-22,1105,393016.0
Other,أخرى,2021-05-22,8856,914744.0
Total,الإجمالي,2021-05-22,82211,7054100.0
Clothing and Footwear,الملابس والأحذية,2020-06-06,2452,498250.0
Construction & Building Materials,مواد التشييد والبناء,2020-06-06,661,537191.0
Education,التعليم,2020-06-06,23,63476.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-06-06,693,454674.0
Gas,محطات الوقود,2020-06-06,3478,127911.0
Health,الصحة,2020-06-06,5458,650994.0
Furniture,الأثاث,2020-06-06,585,376764.0
Hotels,الفنادق,2020-06-06,160,56435.0
Public Utilities,المنافع العامة,2020-06-06,425,82683.0
Jewelry,المجوهرات,2020-06-06,218,374139.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-06-06,1493,628740.0
Recreation and Culture,الترفية والثقافة,2020-06-06,1111,305827.0
Restaurants & Café,المطاعم والمقاهي,2020-06-06,11884,620262.0
Beverage and Food,الأطعمة والمشروبات,2020-06-06,15033,1280237.0
Telecommunication,الاتصالات,2020-06-06,238,82938.0
Transportation,المواصلات,2020-06-06,899,639716.0
Other,أخرى,2020-06-06,5471,1074137.0
Total,الإجمالي,2020-06-06,50281,7854373.0
Clothing and Footwear,الملابس والأحذية,2021-05-15,7299,1172314.0
Construction & Building Materials,مواد التشييد والبناء,2021-05-15,622,140144.0
Education,التعليم,2021-05-15,18,16891.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-05-15,551,160193.0
Gas,محطات الوقود,2021-05-15,8293,487687.0
Health,الصحة,2021-05-15,5102,504730.0
Furniture,الأثاث,2021-05-15,892,228520.0
Hotels,الفنادق,2021-05-15,420,199334.0
Public Utilities,المنافع العامة,2021-05-15,684,60074.0
Jewelry,المجوهرات,2021-05-15,428,482454.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-05-15,7993,683164.0
Recreation and Culture,الترفية والثقافة,2021-05-15,1910,316254.0
Restaurants & Café,المطاعم والمقاهي,2021-05-15,22127,1337859.0
Beverage and Food,الأطعمة والمشروبات,2021-05-15,22115,1301982.0
Telecommunication,الاتصالات,2021-05-15,321,96171.0
Transportation,المواصلات,2021-05-15,935,275114.0
Other,أخرى,2021-05-15,11190,1158775.0
Total,الإجمالي,2021-05-15,90900,8621659.0
Construction & Building Materials,مواد التشييد والبناء,2021-04-24,732,295172.0
Education,التعليم,2021-04-24,37,65937.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-04-24,569,241777.0
Gas,محطات الوقود,2021-04-24,7049,382875.0
Health,الصحة,2021-04-24,4711,567484.0
Furniture,الأثاث,2021-04-24,727,304519.0
Hotels,الفنادق,2021-04-24,249,102057.0
Public Utilities,المنافع العامة,2021-04-24,665,65494.0
Jewelry,المجوهرات,2021-04-24,187,251367.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-04-24,5882,623900.0
Recreation and Culture,الترفية والثقافة,2021-04-24,1178,207760.0
Restaurants & Café,المطاعم والمقاهي,2021-04-24,15197,662357.0
Beverage and Food,الأطعمة والمشروبات,2021-04-24,20534,1125495.0
Telecommunication,الاتصالات,2021-04-24,329,100172.0
Transportation,المواصلات,2021-04-24,1007,432042.0
Other,أخرى,2021-04-24,9012,1066318.0
Total,الإجمالي,2021-04-24,72190,7315068.0
Clothing and Footwear,الملابس والأحذية,2021-07-31,3886,644264.0
Construction & Building Materials,مواد التشييد والبناء,2021-07-31,884,353616.0
Education,التعليم,2021-07-31,47,66549.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-07-31,722,297608.0
Gas,محطات الوقود,2021-07-31,10073,623338.0
Health,الصحة,2021-07-31,6220,748210.0
Furniture,الأثاث,2021-07-31,871,311424.0
Hotels,الفنادق,2021-07-31,592,206007.0
Public Utilities,المنافع العامة,2021-07-31,915,88211.0
Jewelry,المجوهرات,2021-07-31,217,227054.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-07-31,9734,960861.0
Recreation and Culture,الترفية والثقافة,2021-07-31,1575,246253.0
Restaurants & Café,المطاعم والمقاهي,2021-07-31,29912,1327084.0
Beverage and Food,الأطعمة والمشروبات,2021-07-31,26779,1604090.0
Telecommunication,الاتصالات,2021-07-31,398,102322.0
Transportation,المواصلات,2021-07-31,1618,577351.0
Other,أخرى,2021-07-31,12349,1329025.0
Total,الإجمالي,2021-07-31,106791,9713267.0
Clothing and Footwear,الملابس والأحذية,2020-10-10,3028,546183.0
Construction & Building Materials,مواد التشييد والبناء,2020-10-10,695,351432.0
Education,التعليم,2020-10-10,48,83052.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-10-10,639,265755.0
Gas,محطات الوقود,2020-10-10,6214,302566.0
Health,الصحة,2020-10-10,4922,652166.0
Furniture,الأثاث,2020-10-10,678,289463.0
Hotels,الفنادق,2020-10-10,360,124001.0
Public Utilities,المنافع العامة,2020-10-10,621,75643.0
Jewelry,المجوهرات,2020-10-10,165,194720.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-10-10,2761,595931.0
Recreation and Culture,الترفية والثقافة,2020-10-10,1459,246089.0
Restaurants & Café,المطاعم والمقاهي,2020-10-10,20381,996365.0
Beverage and Food,الأطعمة والمشروبات,2020-10-10,18577,1180227.0
Telecommunication,الاتصالات,2020-10-10,249,58036.0
Transportation,المواصلات,2020-10-10,985,418466.0
Other,أخرى,2020-10-10,8068,1014334.0
Total,الإجمالي,2020-10-10,69849,7394428.0
Construction & Building Materials,مواد التشييد والبناء,2020-09-05,692,345008.0
Education,التعليم,2020-09-05,123,502741.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-09-05,745,328908.0
Gas,محطات الوقود,2020-09-05,6141,304461.0
Health,الصحة,2020-09-05,5087,701156.0
Furniture,الأثاث,2020-09-05,718,304077.0
Hotels,الفنادق,2020-09-05,371,129820.0
Public Utilities,المنافع العامة,2020-09-05,668,83403.0
Jewelry,المجوهرات,2020-09-05,165,177305.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-09-05,2412,653466.0
Recreation and Culture,الترفية والثقافة,2020-09-05,1659,362180.0
Restaurants & Café,المطاعم والمقاهي,2020-09-05,19862,1024316.0
Beverage and Food,الأطعمة والمشروبات,2020-09-05,18446,1333597.0
Telecommunication,الاتصالات,2020-09-05,305,78825.0
Transportation,المواصلات,2020-09-05,1050,457201.0
Other,أخرى,2020-09-05,8057,1108688.0
Total,الإجمالي,2020-09-05,69654,8452834.0
Clothing and Footwear,الملابس والأحذية,2022-02-26,3986,627981.0
Construction & Building Materials,مواد التشييد والبناء,2022-02-26,960,353959.0
Education,التعليم,2022-02-26,79,50774.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-02-26,657,257174.0
Gas,محطات الوقود,2022-02-26,11002,622259.0
Health,الصحة,2022-02-26,5986,669130.0
Furniture,الأثاث,2022-02-26,915,353723.0
Hotels,الفنادق,2022-02-26,574,237394.0
Public Utilities,المنافع العامة,2022-02-26,794,65313.0
Jewelry,المجوهرات,2022-02-26,173,183938.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-02-26,12863,947063.0
Recreation and Culture,الترفية والثقافة,2022-02-26,1780,249025.0
Restaurants & Café,المطاعم والمقاهي,2022-02-26,36142,1465088.0
Beverage and Food,الأطعمة والمشروبات,2022-02-26,28302,1426583.0
Telecommunication,الاتصالات,2022-02-26,372,79740.0
Transportation,المواصلات,2022-02-26,1551,483824.0
Other,أخرى,2022-02-26,14452,1334823.0
Total,الإجمالي,2022-02-26,120587,9407791.0
Construction & Building Materials,مواد التشييد والبناء,2020-10-03,738,376347.0
Education,التعليم,2020-10-03,59,123632.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-10-03,752,338161.0
Gas,محطات الوقود,2020-10-03,6498,335706.0
Health,الصحة,2020-10-03,5544,828364.0
Furniture,الأثاث,2020-10-03,780,351680.0
Hotels,الفنادق,2020-10-03,388,138949.0
Public Utilities,المنافع العامة,2020-10-03,693,88773.0
Jewelry,المجوهرات,2020-10-03,198,222079.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-10-03,3051,798764.0
Recreation and Culture,الترفية والثقافة,2020-10-03,1639,282833.0
Restaurants & Café,المطاعم والمقاهي,2020-10-03,21264,1098519.0
Beverage and Food,الأطعمة والمشروبات,2020-10-03,19771,1573618.0
Telecommunication,الاتصالات,2020-10-03,310,74411.0
Transportation,المواصلات,2020-10-03,1144,510200.0
Other,أخرى,2020-10-03,8880,1223962.0
Total,الإجمالي,2020-10-03,75427,9029472.0
Construction & Building Materials,مواد التشييد والبناء,2020-08-29,644,329791.0
Education,التعليم,2020-08-29,155,757480.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-08-29,689,333729.0
Gas,محطات الوقود,2020-08-29,5896,298149.0
Health,الصحة,2020-08-29,4874,685353.0
Furniture,الأثاث,2020-08-29,645,287019.0
Hotels,الفنادق,2020-08-29,370,134373.0
Public Utilities,المنافع العامة,2020-08-29,628,78098.0
Jewelry,المجوهرات,2020-08-29,147,166290.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-08-29,2174,595687.0
Recreation and Culture,الترفية والثقافة,2020-08-29,1362,402810.0
Restaurants & Café,المطاعم والمقاهي,2020-08-29,18173,958094.0
Beverage and Food,الأطعمة والمشروبات,2020-08-29,17849,1426158.0
Telecommunication,الاتصالات,2020-08-29,270,72175.0
Transportation,المواصلات,2020-08-29,977,446006.0
Other,أخرى,2020-08-29,7466,1061062.0
Total,الإجمالي,2020-08-29,65156,8548839.0
Clothing and Footwear,الملابس والأحذية,2021-07-03,5061,872587.0
Construction & Building Materials,مواد التشييد والبناء,2021-07-03,937,392873.0
Education,التعليم,2021-07-03,55,59490.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-07-03,768,309772.0
Gas,محطات الوقود,2021-07-03,10032,625396.0
Health,الصحة,2021-07-03,6380,856107.0
Furniture,الأثاث,2021-07-03,948,366485.0
Hotels,الفنادق,2021-07-03,625,222927.0
Public Utilities,المنافع العامة,2021-07-03,951,97577.0
Jewelry,المجوهرات,2021-07-03,257,297066.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-07-03,9886,1050353.0
Recreation and Culture,الترفية والثقافة,2021-07-03,1722,284199.0
Restaurants & Café,المطاعم والمقاهي,2021-07-03,31111,1405087.0
Beverage and Food,الأطعمة والمشروبات,2021-07-03,27679,1696233.0
Telecommunication,الاتصالات,2021-07-03,456,132466.0
Transportation,المواصلات,2021-07-03,1643,628191.0
Other,أخرى,2021-07-03,12830,1452961.0
Total,الإجمالي,2021-07-03,111340,10749770.0
Clothing and Footwear,الملابس والأحذية,2021-07-24,3635,532974.0
Construction & Building Materials,مواد التشييد والبناء,2021-07-24,530,120280.0
Education,التعليم,2021-07-24,17,3129.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-07-24,414,118975.0
Gas,محطات الوقود,2021-07-24,8487,486081.0
Health,الصحة,2021-07-24,4155,364020.0
Furniture,الأثاث,2021-07-24,608,152202.0
Hotels,الفنادق,2021-07-24,455,183016.0
Public Utilities,المنافع العامة,2021-07-24,691,51336.0
Jewelry,المجوهرات,2021-07-24,164,157185.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-07-24,7693,488496.0
Recreation and Culture,الترفية والثقافة,2021-07-24,1201,175791.0
Restaurants & Café,المطاعم والمقاهي,2021-07-24,23442,1164330.0
Beverage and Food,الأطعمة والمشروبات,2021-07-24,22395,1070523.0
Telecommunication,الاتصالات,2021-07-24,215,57573.0
Transportation,المواصلات,2021-07-24,851,197549.0
Other,أخرى,2021-07-24,9752,800307.0
Total,الإجمالي,2021-07-24,84706,6123767.0
Construction & Building Materials,مواد التشييد والبناء,2020-12-05,817,397466.0
Education,التعليم,2020-12-05,54,87022.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-12-05,741,333311.0
Gas,محطات الوقود,2020-12-05,6981,348571.0
Health,الصحة,2020-12-05,5076,681272.0
Furniture,الأثاث,2020-12-05,867,397007.0
Hotels,الفنادق,2020-12-05,425,155785.0
Public Utilities,المنافع العامة,2020-12-05,592,72175.0
Jewelry,المجوهرات,2020-12-05,204,251871.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-12-05,4338,763908.0
Recreation and Culture,الترفية والثقافة,2020-12-05,1508,312222.0
Restaurants & Café,المطاعم والمقاهي,2020-12-05,23571,1163627.0
Beverage and Food,الأطعمة والمشروبات,2020-12-05,20564,1388083.0
Telecommunication,الاتصالات,2020-12-05,322,84831.0
Transportation,المواصلات,2020-12-05,1155,464751.0
Other,أخرى,2020-12-05,9045,1236563.0
Total,الإجمالي,2020-12-05,80816,9004770.0
Clothing and Footwear,الملابس والأحذية,2020-08-01,6170,1098883.0
Construction & Building Materials,مواد التشييد والبناء,2020-08-01,614,229121.0
Education,التعليم,2020-08-01,24,34208.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-08-01,616,228392.0
Gas,محطات الوقود,2020-08-01,5769,281256.0
Health,الصحة,2020-08-01,4979,651640.0
Furniture,الأثاث,2020-08-01,781,259877.0
Hotels,الفنادق,2020-08-01,330,139954.0
Public Utilities,المنافع العامة,2020-08-01,590,69831.0
Jewelry,المجوهرات,2020-08-01,271,265168.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-08-01,2189,579395.0
Recreation and Culture,الترفية والثقافة,2020-08-01,1561,292865.0
Restaurants & Café,المطاعم والمقاهي,2020-08-01,17745,1076292.0
Beverage and Food,الأطعمة والمشروبات,2020-08-01,17289,1395257.0
Telecommunication,الاتصالات,2020-08-01,251,63184.0
Transportation,المواصلات,2020-08-01,898,370613.0
Other,أخرى,2020-08-01,8238,1160905.0
Total,الإجمالي,2020-08-01,68315,8196841.0
Clothing and Footwear,الملابس والأحذية,2022-03-12,4981,854126.0
Construction & Building Materials,مواد التشييد والبناء,2022-03-12,1121,429685.0
Education,التعليم,2022-03-12,126,141189.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-03-12,757,288199.0
Gas,محطات الوقود,2022-03-12,12149,703896.0
Health,الصحة,2022-03-12,6460,719913.0
Furniture,الأثاث,2022-03-12,1088,360850.0
Hotels,الفنادق,2022-03-12,586,256458.0
Public Utilities,المنافع العامة,2022-03-12,911,80517.0
Jewelry,المجوهرات,2022-03-12,198,201481.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-03-12,14788,1112794.0
Recreation and Culture,الترفية والثقافة,2022-03-12,2071,298033.0
Restaurants & Café,المطاعم والمقاهي,2022-03-12,40202,1545887.0
Beverage and Food,الأطعمة والمشروبات,2022-03-12,31254,1572786.0
Telecommunication,الاتصالات,2022-03-12,428,95314.0
Transportation,المواصلات,2022-03-12,1804,561183.0
Other,أخرى,2022-03-12,16463,1585597.0
Total,الإجمالي,2022-03-12,135386,10807910.0
Clothing and Footwear,الملابس والأحذية,2021-03-13,3587,640324.0
Construction & Building Materials,مواد التشييد والبناء,2021-03-13,869,424718.0
Education,التعليم,2021-03-13,50,81402.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-03-13,692,307419.0
Gas,محطات الوقود,2021-03-13,8059,450370.0
Health,الصحة,2021-03-13,5334,661840.0
Furniture,الأثاث,2021-03-13,893,366337.0
Hotels,الفنادق,2021-03-13,414,125254.0
Public Utilities,المنافع العامة,2021-03-13,704,79810.0
Jewelry,المجوهرات,2021-03-13,208,273983.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-03-13,6381,752334.0
Recreation and Culture,الترفية والثقافة,2021-03-13,1538,261467.0
Restaurants & Café,المطاعم والمقاهي,2021-03-13,24964,1103640.0
Beverage and Food,الأطعمة والمشروبات,2021-03-13,22771,1301215.0
Telecommunication,الاتصالات,2021-03-13,340,90444.0
Transportation,المواصلات,2021-03-13,1165,446628.0
Other,أخرى,2021-03-13,9844,1181417.0
Total,الإجمالي,2021-03-13,87814,8548601.0
