English_Sector,Arabic_Sector,Date,Number of Transactions,Value of Transactions
Clothing and Footwear,الملابس والأحذية,2021-08-07,3670,593242.0
Construction & Building Materials,مواد التشييد والبناء,2021-08-07,871,340502.0
Education,التعليم,2021-08-07,54,95552.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-08-07,697,287539.0
Gas,محطات الوقود,2021-08-07,9911,588982.0
Health,الصحة,2021-08-07,5891,698066.0
Furniture,الأثاث,2021-08-07,837,285752.0
Hotels,الفنادق,2021-08-07,625,216062.0
Public Utilities,المنافع العامة,2021-08-07,906,84799.0
Jewelry,المجوهرات,2021-08-07,206,219270.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-08-07,9745,901805.0
Recreation and Culture,الترفية والثقافة,2021-08-07,1555,234550.0
Restaurants & Café,المطاعم والمقاهي,2021-08-07,30334,1287179.0
Beverage and Food,الأطعمة والمشروبات,2021-08-07,26442,1360843.0
Telecommunication,الاتصالات,2021-08-07,376,90897.0
Transportation,المواصلات,2021-08-07,1492,524793.0
Other,أخرى,2021-08-07,12101,1210884.0
Total,الإجمالي,2021-08-07,105714,9020717.0
Clothing and Footwear,الملابس والأحذية,2021-10-16,3525,569831.0
Construction & Building Materials,مواد التشييد والبناء,2021-10-16,963,352702.0
Education,التعليم,2021-10-16,100,70305.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-10-16,670,239626.0
Gas,محطات الوقود,2021-10-16,10400,594184.0
Health,الصحة,2021-10-16,5935,655224.0
Furniture,الأثاث,2021-10-16,822,272547.0
Hotels,الفنادق,2021-10-16,546,194602.0
Public Utilities,المنافع العامة,2021-10-16,931,79884.0
Jewelry,المجوهرات,2021-10-16,188,192578.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-10-16,10931,833293.0
Recreation and Culture,الترفية والثقافة,2021-10-16,1765,267773.0
Restaurants & Café,المطاعم والمقاهي,2021-10-16,32284,1274980.0
Beverage and Food,الأطعمة والمشروبات,2021-10-16,27348,1292164.0
Telecommunication,الاتصالات,2021-10-16,391,102531.0
Transportation,المواصلات,2021-10-16,1497,487427.0
Other,أخرى,2021-10-16,12959,1199364.0
Total,الإجمالي,2021-10-16,111255,8679016.0
